Species,subspecies,Specimen #,Measurer,Collection,Collection Year,Collection Month,Collection Day,Country,State/province,County/District,Locality,Elevation,BL Average,BW Average,BD Average,Tarsus Average,Kipp's Average,WC Average,Tail,Age,Sex
Tyrannus caudifasciatus,caymanensis,316763,MM,Smithsonian National Museum of Natural History,1929,4,17,Cayman Islands,Grand Cayman,null,null,null,22.845,9.39,7.77,22.01,21.47,104.11,90.86,Adult,Male
Tyrannus caudifasciatus,caymanensis,316764,MM,Smithsonian National Museum of Natural History,1929,4,17,Cayman Islands,Grand Cayman,null,null,null,21.58,null,null,21.765,22.21,102.595,86.16,Adult,Male
Tyrannus caudifasciatus,caymanensis,316765,MM,Smithsonian National Museum of Natural History,1929,4,17,Cayman Islands,Grand Cayman,null,null,null,22.12,9.345,7.33,22.755,22.53,104.75,87.06,Adult,Male
Tyrannus caudifasciatus,caymanensis,316766,MM,Smithsonian National Museum of Natural History,1929,4,17,Cayman Islands,Grand Cayman,null,null,null,20.61,9.465,7.88,22.965,20.63,101.38,88.43,Adult,Female
Tyrannus caudifasciatus,caymanensis,316767,MM,Smithsonian National Museum of Natural History,1929,4,17,Cayman Islands,Grand Cayman,null,null,null,22.63,9.545,7.5,22.875,24.355,108.665,94.33,Adult,Male
Tyrannus caudifasciatus,gabbii,317270,MM,Smithsonian National Museum of Natural History,1930,4,8,Haiti,null,null,Baraderes Penn,null,null,9.31,7.44,21.47,23.12,102,77.43,Adult,Female
Tyrannus caudifasciatus,taylori,323582,MM,Smithsonian National Museum of Natural History,1930,9,26,Cuba,Isle Of Pines,null,null,null,17.955,8.81,7.15,22.46,null,null,null,Adult,Male
Tyrannus caudifasciatus,taylori,323583,MM,Smithsonian National Museum of Natural History,1930,9,26,Cuba,Isle Of Pines,null,null,null,18.91,8.835,7.485,23.81,25.94,107.27,88.39,Adult,Male
Tyrannus caudifasciatus,taylori,323584,MM,Smithsonian National Museum of Natural History,1930,9,26,Cuba,Isle Of Pines,null,null,null,18.95,9.1,null,23.355,null,null,null,Adult,Female
Tyrannus caudifasciatus,taylori,323585,MM,Smithsonian National Museum of Natural History,1930,9,26,Cuba,Isle Of Pines,null,null,null,19.165,9.16,7.675,22.585,null,null,null,Adult,Male
Tyrannus caudifasciatus,caudifasciatus,323586,MM,Smithsonian National Museum of Natural History,1930,9,5,Cuba,Camaguey,null,Loma Cay,null,22.91,9.825,8.025,22.625,null,null,null,Adult,Female
